flight_number,airport,type,status,aircraft
JL 9266,DEL,Departure,Departed,
6E 5022,DEL,Departure,Departed,
6E 6814,DEL,Departure,Departed,
VS 8743,DEL,Departure,Departed,
JL 9253,DEL,Departure,Departed,
QF 5301,DEL,Departure,Departed,
AI 1715,DEL,Departure,Departed,
AI 3423,DEL,Departure,Departed,VT-TNN
AI 2815,DEL,Departure,Departed,VT-TNI
6E 2033,DEL,Departure,Departed,
VS 8287,DEL,Departure,Departed,
TK 4676,DEL,Departure,Departed,
BA 7921,DEL,Departure,Departed,
9I 803,DEL,Departure,Departed,
AI 2937,DEL,Departure,Departed,
TK 717,DEL,Departure,GateClosed,
AI 1799,DEL,Departure,Departed,VT-TNM
AI 1769,DEL,Departure,Departed,
ZZ 715,DEL,Departure,Departed,
AI 2943,DEL,Departure,GateClosed,VT-RTT
AI 2959,DEL,Departure,Departed,VT-TVF
AI 1767,DEL,Departure,Departed,
6E 364,DEL,Departure,Departed,VT-ISR
9I 691,DEL,Departure,Departed,
AI 2560,DEL,Departure,Departed,
AI 2461,DEL,Departure,Departed,VT-CIM
AI 111,DEL,Departure,GateClosed,
6E 1633,DEL,Departure,Departed,
AI 2705,DEL,Departure,Departed,VT-TNJ
AI 2463,DEL,Departure,Departed,VT-EXK
6E 6650,DEL,Departure,Departed,
6E 2316,DEL,Departure,Departed,
6E 1461,DEL,Departure,Departed,
6E 2154,DEL,Departure,GateClosed,
AI 2239,DEL,Departure,GateClosed,
AY 122,DEL,Departure,GateClosed,
AI 6473,DEL,Departure,Canceled,
6E 1151,DEL,Departure,GateClosed,
6E 2786,DEL,Departure,GateClosed,VT-NCJ
AI 2833,DEL,Departure,Departed,VT-CID
TK 4730,DEL,Departure,GateClosed,
JL 9255,DEL,Departure,GateClosed,
QF 5271,DEL,Departure,GateClosed,
VS 8728,DEL,Departure,GateClosed,
6E 675,DEL,Departure,GateClosed,
AF 6466,DEL,Departure,GateClosed,
LO 72,DEL,Departure,GateClosed,
AI 885,DEL,Departure,Departed,
VS 9288,DEL,Departure,GateClosed,
6E 6320,DEL,Departure,GateClosed,
QP 1355,DEL,Departure,GateClosed,
IX 1046,DEL,Departure,Departed,VT-BWH
IX 1285,DEL,Departure,GateClosed,
MK 745,DEL,Departure,GateClosed,
MK 745,DEL,Departure,GateClosed,
ZZ 800,DEL,Departure,Canceled,
ZZ 800,DEL,Departure,Canceled,
IX 135,DEL,Departure,Canceled,
IX 135,DEL,Departure,Canceled,
ZZ 5513,DEL,Departure,GateClosed,
ZZ 5513,DEL,Departure,GateClosed,
AI 6745,DEL,Departure,GateClosed,
AI 6745,DEL,Departure,GateClosed,
AI 1749,DEL,Departure,GateClosed,
AI 1749,DEL,Departure,GateClosed,
6E 2507,DEL,Departure,GateClosed,
VS 8448,DEL,Departure,GateClosed,
JL 9655,DEL,Departure,GateClosed,
IX 1223,DEL,Departure,GateClosed,
6E 6327,DEL,Departure,GateClosed,
AF 6099,DEL,Departure,GateClosed,
IX 1283,DEL,Departure,GateClosed,
6E 7483,DEL,Departure,GateClosed,
IX 1012,DEL,Departure,GateClosed,
6E 5207,DEL,Departure,Boarding,
VS 9300,DEL,Departure,Boarding,
6E 7442,DEL,Departure,GateClosed,
6E 2107,DEL,Departure,Boarding,
AI 1765,DEL,Departure,Boarding,
AI 495,DEL,Departure,Boarding,
AI 2355,DEL,Departure,Expected,
AI 213,DEL,Departure,Boarding,
SG 263,DEL,Departure,Delayed,
6E 5104,DEL,Departure,Boarding,
6E 6765,DEL,Departure,Boarding,
AA 9191,DEL,Departure,Boarding,
AF 3353,DEL,Departure,Boarding,
IX 1979,DEL,Departure,Expected,
AI 2678,DEL,Departure,Boarding,
QP 1719,DEL,Departure,Expected,
AI 1771,DEL,Departure,Delayed,
SG 2718,DEL,Departure,Expected,
AI 427,DEL,Departure,Boarding,VT-NAC
6E 1053,DEL,Departure,Boarding,
SG 195,DEL,Departure,CheckIn,
FG 312,DEL,Departure,Expected,
SG 2941,DEL,Departure,CheckIn,
6E 425,DEL,Departure,CheckIn,
6E 5063,DEL,Departure,CheckIn,
QP 1105,DEL,Departure,CheckIn,
6E 2157,DEL,Departure,Boarding,
JL 9022,DEL,Departure,Boarding,
TK 4734,DEL,Departure,Boarding,
VS 8317,DEL,Departure,Boarding,
QF 5284,DEL,Departure,Boarding,
IX 1032,DEL,Departure,CheckIn,
6E 2104,DEL,Departure,CheckIn,
JL 9028,DEL,Departure,CheckIn,
QF 5318,DEL,Departure,CheckIn,
BA 7949,DEL,Departure,CheckIn,
VS 8335,DEL,Departure,CheckIn,
TK 4700,DEL,Departure,CheckIn,
AF 3778,DEL,Departure,CheckIn,
AI 2963,DEL,Departure,CheckIn,
6E 6748,DEL,Departure,CheckIn,
6E 6571,DEL,Departure,CheckIn,
J2 580,DEL,Departure,Canceled,
6E 6608,DEL,Departure,CheckIn,VT-NHB
QF 5047,DEL,Departure,CheckIn,
JL 9014,DEL,Departure,CheckIn,
TK 4717,DEL,Departure,CheckIn,
VS 8310,DEL,Departure,CheckIn,
QF 5340,DEL,Departure,CheckIn,
JL 5299,DEL,Departure,CheckIn,
6E 163,DEL,Departure,CheckIn,
TK 4679,DEL,Departure,CheckIn,
VS 8375,DEL,Departure,CheckIn,
SG 937,DEL,Departure,CheckIn,
6E 1013,DEL,Departure,CheckIn,
AI 423,DEL,Departure,CheckIn,
AI 1791,DEL,Departure,CheckIn,
QP 1334,DEL,Departure,CheckIn,
6E 2229,DEL,Departure,CheckIn,
VS 8468,DEL,Departure,CheckIn,
BA 8003,DEL,Departure,CheckIn,
JL 9683,DEL,Departure,CheckIn,
TK 4713,DEL,Departure,CheckIn,
AI 2415,DEL,Departure,CheckIn,VT-EXI
IX 181,DEL,Departure,Canceled,
AI 2927,DEL,Departure,CheckIn,
6E 6016,DEL,Departure,CheckIn,
AI 4205,DEL,Departure,CheckIn,
AI 917,DEL,Departure,Expected,
ET 689,DEL,Departure,CheckIn,
AI 2542,DEL,Departure,CheckIn,
SG 186,DEL,Departure,CheckIn,
6E 2373,DEL,Departure,CheckIn,
SQ 401,DEL,Departure,CheckIn,
6E 5187,DEL,Departure,CheckIn,
SG 130,DEL,Departure,CheckIn,
6E 6757,DEL,Departure,CheckIn,
AI 2467,DEL,Departure,CheckIn,
QR 571,DEL,Departure,Canceled,
IX 1083,DEL,Departure,CheckIn,
SG 5511,DEL,Departure,Delayed,
QP 1411,DEL,Departure,CheckIn,
AI 2995,DEL,Departure,CheckIn,
6E 1153,DEL,Departure,CheckIn,
6E 6328,DEL,Departure,CheckIn,
IX 1294,DEL,Departure,CheckIn,
VS 8765,DEL,Departure,CheckIn,
JL 9617,DEL,Departure,CheckIn,
AA 9180,DEL,Departure,CheckIn,
AF 6460,DEL,Departure,CheckIn,
QF 5346,DEL,Departure,CheckIn,
BA 8808,DEL,Departure,CheckIn,
VS 8288,DEL,Departure,CheckIn,
6E 6740,DEL,Departure,CheckIn,
SG 176,DEL,Departure,Expected,
6E 6455,DEL,Departure,CheckIn,
WY 242,DEL,Departure,CheckIn,
SG 123,DEL,Departure,CheckIn,
IX 1035,DEL,Departure,CheckIn,
ZZ 1015,DEL,Departure,Expected,
6E 2120,DEL,Departure,CheckIn,
6E 5347,DEL,Departure,CheckIn,
6E 6605,DEL,Departure,CheckIn,
BA 8784,DEL,Departure,CheckIn,
VS 8684,DEL,Departure,CheckIn,
QF 5389,DEL,Departure,CheckIn,
AI 1763,DEL,Departure,CheckIn,
AI 2859,DEL,Departure,CheckIn,
SG 661,DEL,Departure,Canceled,
6E 6669,DEL,Departure,CheckIn,
VS 9306,DEL,Departure,CheckIn,
AI 2485,DEL,Departure,CheckIn,VT-CIO
6E 2136,DEL,Departure,CheckIn,
SG 877,DEL,Departure,CheckIn,
AI 1795,DEL,Departure,CheckIn,
6E 173,DEL,Departure,CheckIn,VT-NCW
AI 2115,DEL,Departure,CheckIn,
6E 6667,DEL,Departure,CheckIn,
AI 1723,DEL,Departure,CheckIn,
SG 8718,DEL,Departure,CheckIn,
AI 1741,DEL,Departure,CheckIn,
AI 2627,DEL,Departure,CheckIn,
SG 2939,DEL,Departure,CheckIn,
AI 189,DEL,Departure,Canceled,
6E 6559,DEL,Departure,CheckIn,
AI 2523,DEL,Departure,CheckIn,
6E 6019,DEL,Departure,CheckIn,
QP 1607,DEL,Departure,CheckIn,
6E 5927,DEL,Departure,CheckIn,
IX 1271,DEL,Departure,CheckIn,
BA 256,DEL,Departure,CheckIn,
FZ 442,DEL,Departure,CheckIn,
AI 185,DEL,Departure,CheckIn,
TK 8433,DEL,Departure,CheckIn,
VS 8887,DEL,Departure,CheckIn,
JL 9685,DEL,Departure,CheckIn,
6E 6239,DEL,Departure,CheckIn,
EK 511,DEL,Departure,CheckIn,
AI 2945,DEL,Departure,CheckIn,
6E 2198,DEL,Departure,CheckIn,
VS 9338,DEL,Departure,Expected,
MH 5610,DEL,Departure,Expected,
6E 2334,DEL,Departure,Expected,
JL 9723,DEL,Departure,Expected,
AF 3787,DEL,Departure,Expected,
6E 6824,DEL,Departure,Expected,
TG 324,DEL,Departure,CheckIn,
6E 2314,DEL,Departure,Expected,
6E 6855,DEL,Departure,Expected,
IX 2152,DEL,Departure,Expected,
6E 2379,DEL,Departure,Expected,
AI 2907,DEL,Departure,Expected,
IX 1461,DEL,Departure,Expected,
SG 495,DEL,Departure,Expected,
AI 491,DEL,Departure,Expected,
6E 767,DEL,Departure,Expected,
6E 6047,DEL,Departure,Expected,
ZZ 1100,DEL,Departure,Delayed,
AI 1721,DEL,Departure,Expected,
AI 1739,DEL,Departure,Expected,
AI 2715,DEL,Departure,Expected,
QP 1625,DEL,Departure,Expected,
KU 5008,DEL,Departure,CheckIn,
TK 4676,DEL,Departure,Expected,
VS 8290,DEL,Departure,Expected,
6E 6694,DEL,Departure,Expected,
BA 7922,DEL,Departure,Expected,
JL 5297,DEL,Departure,Expected,
QF 5337,DEL,Departure,Expected,
AI 2332,DEL,Departure,CheckIn,
VS 301,DEL,Departure,CheckIn,
DL 5949,DEL,Departure,CheckIn,
IX 1076,DEL,Departure,Expected,
VS 8711,DEL,Departure,Expected,
QF 5044,DEL,Departure,Expected,
JL 8463,DEL,Departure,Expected,
6E 842,DEL,Departure,Expected,VT-NHI
6E 7485,DEL,Departure,Expected,
AI 217,DEL,Departure,CheckIn,
IX 1058,DEL,Departure,Expected,
AI 1737,DEL,Departure,Expected,
6E 2258,DEL,Departure,Expected,
VS 9286,DEL,Departure,Expected,
JL 9621,DEL,Departure,Expected,
6E 6364,DEL,Departure,Expected,
VS 9262,DEL,Departure,Expected,
AI 2243,DEL,Departure,Canceled,
AI 2532,DEL,Departure,Expected,
VS 8515,DEL,Departure,Expected,
6E 6462,DEL,Departure,Expected,
6E 6547,DEL,Departure,Expected,
6E 6733,DEL,Departure,Expected,
6E 7324,DEL,Departure,Expected,
6E 7324,DEL,Departure,Expected,
AI 173,DEL,Departure,Delayed,
AI 173,DEL,Departure,Delayed,
AI 1719,DEL,Departure,Expected,
AI 1719,DEL,Departure,Expected,
AI 1785,DEL,Departure,Expected,
AI 1785,DEL,Departure,Expected,
AI 352,DEL,Departure,CheckIn,
AI 352,DEL,Departure,CheckIn,
AI 2458,DEL,Departure,Expected,
AI 2458,DEL,Departure,Expected,
6E 6762,DEL,Departure,Expected,
6E 6762,DEL,Departure,Expected,
QP 1802,DEL,Departure,Expected,
AI 2483,DEL,Departure,Expected,
AI 2635,DEL,Departure,Expected,
SG 658,DEL,Departure,Expected,9H-TJF
KC 908,DEL,Departure,Expected,EI-KEB
6E 2182,DEL,Departure,Expected,
6E 2052,DEL,Departure,Expected,
ZZ 1215,DEL,Departure,Expected,
AI 281,DEL,Departure,Expected,
VS 8876,DEL,Departure,Expected,
BA 8004,DEL,Departure,Expected,
6E 434,DEL,Departure,Expected,
JL 9687,DEL,Departure,Expected,
6E 6434,DEL,Departure,Expected,
6E 6520,DEL,Departure,Expected,
VS 9258,DEL,Departure,Expected,
6E 6492,DEL,Departure,Expected,
AI 2899,DEL,Departure,Expected,
IX 1980,DEL,Departure,Expected,
6E 5071,DEL,Departure,Expected,
VS 9305,DEL,Departure,Expected,
6E 2557,DEL,Departure,Canceled,
6E 6504,DEL,Departure,Expected,
6E 2572,DEL,Departure,Expected,
6E 1103,DEL,Departure,Expected,
AI 801,DEL,Departure,Delayed,
IX 1251,DEL,Departure,Expected,
6E 6051,DEL,Departure,Expected,
6E 2044,DEL,Departure,Expected,
HY 424,DEL,Departure,Expected,
6E 2230,DEL,Departure,Expected,
VS 8365,DEL,Departure,Expected,
6E 380,DEL,Departure,Expected,
QF 5325,DEL,Departure,Expected,
JL 9295,DEL,Departure,Expected,
AI 2417,DEL,Departure,Expected,VT-TNH
IX 1037,DEL,Departure,Expected,
AI 2767,DEL,Departure,Expected,
6E 6188,DEL,Departure,Expected,VT-IMC
AI 2645,DEL,Departure,Expected,
IX 1339,DEL,Departure,Delayed,
AI 2425,DEL,Departure,Delayed,
AI 1735,DEL,Departure,Expected,
IX 1079,DEL,Departure,Expected,
VS 8803,DEL,Departure,Expected,
6E 6655,DEL,Departure,Expected,
IX 1090,DEL,Departure,Expected,
6E 2612,DEL,Departure,Expected,
BA 8794,DEL,Departure,Expected,
JL 9663,DEL,Departure,Expected,
6E 2172,DEL,Departure,Expected,
QF 5365,DEL,Departure,Expected,
VS 8693,DEL,Departure,Expected,
AI 2951,DEL,Departure,Expected,
9I 873,DEL,Departure,Expected,
AI 2382,DEL,Departure,Expected,
MH 173,DEL,Departure,Expected,
6E 360,DEL,Departure,Expected,
AI 4155,DEL,Departure,Expected,
VS 8514,DEL,Departure,Expected,
6E 6857,DEL,Departure,Expected,
QF 5359,DEL,Departure,Expected,
BA 8810,DEL,Departure,Expected,
JL 9046,DEL,Departure,Expected,
AI 121,DEL,Departure,Expected,
ZZ 1330,DEL,Departure,Expected,
AI 1717,DEL,Departure,Expected,
AI 1783,DEL,Departure,Expected,
AI 881,DEL,Departure,Expected,
AI 2623,DEL,Departure,Expected,
AI 2388,DEL,Departure,Delayed,
AI 419,DEL,Departure,Expected,
AI 2029,DEL,Departure,Expected,
AI 143,DEL,Departure,Delayed,
QP 1406,DEL,Departure,Expected,
AI 814,DEL,Departure,Expected,
6E 6619,DEL,Departure,Expected,
BA 7982,DEL,Departure,Expected,
QF 5288,DEL,Departure,Expected,
JL 9265,DEL,Departure,Expected,
6E 6676,DEL,Departure,Expected,
VS 8331,DEL,Departure,Expected,
AI 155,DEL,Departure,Delayed,
IX 1287,DEL,Departure,Expected,
QP 1807,DEL,Departure,Expected,
AI 1779,DEL,Departure,Expected,
AI 1781,DEL,Departure,Expected,
QF 8777,DEL,Departure,Expected,
VS 8422,DEL,Departure,Expected,
JL 9641,DEL,Departure,Expected,
6E 247,DEL,Departure,Expected,
JL 9725,DEL,Departure,Expected,
6E 6649,DEL,Departure,Expected,
VS 9337,DEL,Departure,Expected,
MH 5274,DEL,Departure,Expected,
AI 3108,DEL,Departure,Expected,
AI 2441,DEL,Departure,Expected,
AI 2453,DEL,Departure,Expected,
6E 1155,DEL,Departure,Expected,
AI 2967,DEL,Departure,Expected,
AI 2017,DEL,Departure,Expected,
6E 176,DEL,Departure,Expected,VT-NCU
6E 6589,DEL,Departure,Expected,
6E 6248,DEL,Departure,Expected,
SG 160,DEL,Departure,Expected,
6E 6731,DEL,Departure,Expected,
6E 5106,DEL,Departure,Expected,
AI 2376,DEL,Departure,Delayed,
AI 2362,DEL,Departure,Delayed,
6E 2196,DEL,Departure,Expected,
QF 5381,DEL,Departure,Expected,
BA 8787,DEL,Departure,Expected,
VS 8811,DEL,Departure,Expected,
AI 1755,DEL,Departure,Expected,
AI 2592,DEL,Departure,Expected,
6E 2425,DEL,Departure,Expected,
VS 8473,DEL,Departure,Expected,
6E 6724,DEL,Departure,Expected,
JL 9689,DEL,Departure,Expected,
AI 219,DEL,Departure,Expected,
6E 6610,DEL,Departure,Expected,
AI 2304,DEL,Departure,Expected,
AI 2465,DEL,Departure,Expected,
AI 1731,DEL,Departure,Expected,
IX 1059,DEL,Departure,Expected,
6E 2087,DEL,Departure,Expected,
6E 7156,DEL,Departure,Expected,
6E 2414,DEL,Departure,Expected,
AI 2758,DEL,Arrival,Arrived,VT-TQJ
AI 174,DEL,Arrival,Arrived,
AI 2383,DEL,Arrival,Arrived,VT-TVA
AI 2422,DEL,Arrival,Arrived,VT-SCF
IX 136,DEL,Arrival,Canceled,
J2 57,DEL,Arrival,Arrived,
IX 1221,DEL,Arrival,Arrived,VT-BWJ
IX 1684,DEL,Arrival,Arrived,VT-ATH
AI 2026,DEL,Arrival,Arrived,VT-AEI
IX 1258,DEL,Arrival,Arrived,VT-RTC
6E 2332,DEL,Arrival,Arrived,VT-ILL
XY 329,DEL,Arrival,Arrived,HZ-NS46
SG 106,DEL,Arrival,Arrived,EI-FFC
AI 148,DEL,Arrival,Arrived,VT-ANR
ZZ 315,DEL,Arrival,Arrived,
UL 191,DEL,Arrival,Arrived,4R-MRE
6E 2137,DEL,Arrival,Arrived,VT-NCJ
IX 164,DEL,Arrival,Arrived,VT-ATJ
SU 232,DEL,Arrival,Arrived,RA-73140
QR 7346,DEL,Arrival,Canceled,
AI 301,DEL,Arrival,Arrived,VT-NAC
6E 6409,DEL,Arrival,Arrived,VT-IBH
6E 6045,DEL,Arrival,Arrived,VT-NCF
AI 2284,DEL,Arrival,Canceled,
IX 6392,DEL,Arrival,Arrived,
AI 2361,DEL,Arrival,Arrived,VT-TVI
6E 12,DEL,Arrival,Canceled,
GF 130,DEL,Arrival,Canceled,
6E 456,DEL,Arrival,Arrived,VT-NHF
LO 71,DEL,Arrival,Arrived,SP-LSB
AI 996,DEL,Arrival,Canceled,
AI 112,DEL,Arrival,Arrived,VT-JRE
TK 716,DEL,Arrival,Arrived,
AI 2256,DEL,Arrival,Arrived,VT-RTT
SQ 402,DEL,Arrival,Arrived,9V-SCG
IX 6001,DEL,Arrival,Arrived,VT-VNS
6E 1406,DEL,Arrival,Canceled,
MK 744,DEL,Arrival,Arrived,
6E 6010,DEL,Arrival,Arrived,VT-NCN
6E 72,DEL,Arrival,Canceled,
6E 2491,DEL,Arrival,Arrived,VT-IBF
AI 4210,DEL,Arrival,Arrived,VT-TQL
KU 383,DEL,Arrival,Expected,
AY 121,DEL,Arrival,Arrived,OH-LTP
6E 2315,DEL,Arrival,Arrived,
ZZ 5512,DEL,Arrival,Arrived,
QP 1811,DEL,Arrival,Arrived,VT-YBB
6E 34,DEL,Arrival,Arrived,LN-FNC
SG 5512,DEL,Arrival,Arrived,VT-SGV
6E 6185,DEL,Arrival,Arrived,
6E 656,DEL,Arrival,Arrived,VT-NCU
6E 84,DEL,Arrival,Canceled,
6E 6094,DEL,Arrival,Arrived,VT-ISO
IX 1282,DEL,Arrival,Arrived,VT-BXG
6E 2108,DEL,Arrival,Arrived,
AI 1806,DEL,Arrival,Arrived,VT-RTX
AI 309,DEL,Arrival,Arrived,VT-ANQ
6E 2787,DEL,Arrival,Arrived,
AI 2404,DEL,Arrival,Arrived,VT-TQI
